<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20180111;000000;237.7600000;240.8800000;235.2100000;239.0000000;43062100
20180112;000000;239.0000000;239.0000000;236.0500000;237.7500000;30886330
20180115;000000;239.0300000;240.9700000;238.0000000;238.8500000;25651360
20180116;000000;239.0000000;240.0000000;236.0100000;239.6400000;25463890
20180117;000000;238.6200000;239.8200000;236.5300000;239.8200000;30496560
20180118;000000;240.5000000;246.6900000;240.0000000;245.5000000;64062190
20180119;000000;245.1600000;245.9800000;240.6800000;242.4500000;38974940
20180122;000000;242.9700000;244.8900000;241.4100000;243.9900000;25074510
20180123;000000;244.7800000;246.2500000;241.6700000;244.4000000;43952320
20180124;000000;244.2000000;247.5300000;242.3200000;247.5300000;31125880
20180125;000000;247.9000000;251.6500000;247.5800000;250.6400000;54982290
20180126;000000;249.6000000;251.2300000;245.9300000;247.0000000;35182810
20180129;000000;247.5000000;250.7900000;246.0000000;250.4800000;49177160
20180130;000000;248.5300000;258.9600000;247.9100000;257.8000000;65465450
20180131;000000;257.5000000;264.7900000;255.7000000;264.5000000;63661880
20180201;000000;265.0000000;270.3000000;260.6000000;263.2000000;73011770
20180202;000000;263.6300000;264.8300000;256.2000000;257.3200000;64628360
20180205;000000;254.9300000;258.2900000;252.6000000;255.6400000;45881050
20180206;000000;249.9800000;262.5500000;248.1000000;258.9400000;85504830
20180207;000000;263.0000000;264.3700000;256.2600000;257.5800000;53360650
20180208;000000;256.4000000;259.7600000;253.1900000;253.1900000;37153970
20180209;000000;249.4800000;252.8900000;244.1300000;250.1100000;81609160
20180212;000000;253.0000000;256.3600000;251.6700000;255.0500000;41723850
20180213;000000;255.8700000;258.6200000;254.7000000;258.3000000;43682560
20180214;000000;259.0800000;263.3700000;257.2600000;262.0300000;60335860
20180215;000000;267.5300000;268.7700000;264.0000000;264.5800000;60628960
20180216;000000;265.8100000;267.9700000;263.1100000;266.9900000;51896060
20180219;000000;267.0000000;270.0000000;265.3000000;266.8500000;24145990
20180220;000000;266.8600000;267.8000000;264.7200000;267.2200000;24741410
20180221;000000;266.0600000;279.2000000;266.0500000;279.2000000;70353730
20180222;000000;277.9600000;279.5000000;275.5200000;277.4900000;50614960
20180226;000000;279.0000000;285.0000000;278.5900000;279.9700000;67356050
20180227;000000;280.8200000;280.9900000;276.6100000;278.2100000;39968470
20180228;000000;276.0200000;277.4100000;272.0000000;272.4000000;52919980
20180301;000000;270.9800000;277.0000000;270.9000000;275.0000000;38940750
20180302;000000;274.4000000;275.5000000;268.5600000;273.0000000;46008780
20180305;000000;273.7000000;278.8400000;273.5000000;277.0000000;34090490
20180306;000000;278.5000000;281.5000000;274.0300000;274.0300000;40549160
20180307;000000;272.9900000;276.7200000;270.1500000;274.0000000;49951810
20180309;000000;274.5700000;275.4800000;270.6100000;274.6000000;26306900
20180312;000000;276.0500000;277.3000000;273.5500000;274.3000000;23683510
20180313;000000;274.0000000;275.9300000;272.6600000;273.9500000;34624050
20180314;000000;272.9200000;273.4000000;262.1100000;262.5000000;61740760
20180315;000000;263.0100000;264.6100000;253.2900000;254.5100000;77948620
20180316;000000;255.2800000;257.9800000;249.7600000;256.1500000;91829180
20180319;000000;257.8000000;259.8100000;250.0100000;255.0000000;42444330
20180320;000000;255.9500000;257.3400000;250.4000000;257.1500000;62915590
20180321;000000;258.0000000;270.0000000;257.2300000;268.8800000;69873420
20180322;000000;269.9700000;271.8000000;264.1000000;265.5000000;55515720
20180323;000000;259.0300000;264.2500000;259.0300000;262.0000000;45451970
20180326;000000;262.0200000;264.8700000;255.0000000;255.0000000;56781030
20180327;000000;256.9900000;258.4300000;252.2700000;258.0000000;45103320
20180328;000000;255.5000000;256.1200000;250.7500000;251.5000000;43708220
20180329;000000;252.1400000;255.6000000;252.1400000;252.9000000;33595950
20180330;000000;254.0200000;254.4900000;252.8000000;253.5700000;10854540
20180402;000000;253.6000000;258.3400000;249.9900000;249.9900000;35423370
20180403;000000;250.0100000;251.9300000;245.3800000;251.6000000;63712830
20180404;000000;252.2200000;255.7700000;249.0900000;255.6900000;51988700
20180405;000000;257.2600000;262.8900000;255.9200000;262.0000000;52541810
20180406;000000;260.6400000;262.3200000;256.0100000;256.7600000;40147790
20180409;000000;255.1000000;255.3000000;205.0000000;213.0000000;249893540
20180410;000000;211.2400000;224.4700000;197.0000000;215.4800000;242110550
20180411;000000;213.9800000;223.6000000;204.2400000;208.0000000;185548360
20180412;000000;214.5900000;218.3900000;208.5000000;212.2100000;126646690
20180413;000000;213.3600000;216.7000000;203.1400000;204.7000000;106807820
20180416;000000;199.3500000;208.0000000;191.5000000;192.0600000;199130330
20180417;000000;203.0300000;207.8700000;200.0000000;207.5000000;168916840
20180418;000000;209.0200000;219.9300000;208.2500000;215.8700000;173838350
20180419;000000;217.3400000;222.2200000;212.0000000;213.4500000;133397880
20180420;000000;214.0200000;216.2700000;212.1300000;215.3600000;57747950
20180423;000000;216.4800000;223.5000000;213.2200000;223.2500000;116819360
20180424;000000;225.9200000;228.4300000;221.3000000;223.0000000;83740550
20180425;000000;220.1300000;223.7800000;218.2000000;220.4500000;69521980
20180426;000000;221.5700000;222.5900000;216.0000000;220.7000000;73144200
20180427;000000;221.3700000;224.4300000;217.6200000;223.9100000;81902940
20180428;000000;224.4000000;224.9900000;222.4000000;224.8700000;10121630
20180430;000000;224.5000000;228.2000000;221.5800000;226.9900000;39339460
20180502;000000;224.5000000;230.0000000;224.0200000;229.0200000;39843120
20180503;000000;228.4200000;232.7400000;227.5000000;228.0300000;79557540
20180504;000000;229.5900000;230.9400000;225.7000000;228.5500000;48071660
20180507;000000;230.2000000;232.1800000;229.0600000;229.8600000;37180430
20180508;000000;227.7700000;228.4800000;224.5000000;226.7000000;55830890
20180510;000000;228.5000000;234.1400000;228.3700000;233.7000000;72107560
20180511;000000;234.3000000;237.9500000;233.7400000;235.7200000;55032410
20180514;000000;236.2200000;237.8000000;234.0300000;237.8000000;34741670
20180515;000000;237.5000000;237.5000000;230.4000000;231.3900000;52925240
20180516;000000;230.8800000;232.0000000;226.7000000;229.8000000;70111320
20180517;000000;230.0200000;231.2500000;226.0500000;226.0500000;43411210
20180518;000000;225.7100000;228.1600000;222.2000000;222.2000000;60256410
20180521;000000;223.5500000;226.8000000;223.5500000;226.2100000;38947410
20180522;000000;227.2700000;227.2700000;222.9500000;225.6000000;43217100
20180523;000000;223.1200000;224.0700000;221.0000000;221.0000000;48689890
20180524;000000;221.9200000;223.7000000;221.1200000;222.0100000;37182550
20180525;000000;222.5200000;223.4800000;219.0000000;220.0000000;50121930
20180528;000000;219.4700000;221.5000000;219.2000000;220.9000000;23163930
20180529;000000;220.6500000;222.1300000;217.1000000;219.0000000;35915960
20180530;000000;219.3000000;221.5500000;217.8800000;221.0100000;48577040
20180531;000000;221.9800000;224.3500000;220.0000000;222.3600000;67355330
20180601;000000;221.5000000;222.7700000;220.0000000;220.0000000;35486150
20180604;000000;221.1400000;222.6700000;218.5700000;220.0000000;32190880
20180605;000000;220.0000000;220.7900000;214.5100000;215.5600000;51356070
20180606;000000;216.0100000;218.1900000;214.6500000;217.9000000;35757900
20180607;000000;218.9400000;219.4500000;216.4100000;216.4100000;32382500
20180608;000000;215.9900000;217.0000000;210.2500000;210.9500000;67550410
20180609;000000;211.5200000;213.2700000;211.5000000;212.6000000;6414930
20180611;000000;212.5800000;213.6100000;208.3300000;210.3500000;28258150
20180613;000000;211.2500000;216.1300000;209.6300000;215.0000000;48493030
20180614;000000;214.8000000;217.4900000;213.6000000;214.0000000;42714160
20180615;000000;213.9000000;215.0000000;207.9000000;209.3600000;86197300
20180618;000000;209.0000000;211.2000000;205.0100000;206.3000000;54250200
20180619;000000;204.0000000;206.7700000;202.1100000;206.0000000;51282280
20180620;000000;207.0200000;212.3700000;207.0200000;212.2000000;60940670
20180621;000000;212.2000000;214.1600000;208.6200000;210.4000000;65015400
20180622;000000;211.6300000;215.0000000;209.6200000;214.4300000;67423210
20180625;000000;204.5000000;206.9400000;202.5100000;202.5100000;56116320
20180626;000000;203.5100000;205.0000000;199.6000000;199.9100000;54707960
20180627;000000;201.8500000;209.3300000;198.5500000;207.9500000;80687300
20180628;000000;207.8100000;210.6300000;207.0100000;208.5000000;46830280
20180629;000000;210.1200000;218.3000000;210.0900000;218.0000000;76660960
20180702;000000;217.0100000;222.8300000;216.0000000;221.0100000;55104090
20180703;000000;221.2000000;222.4500000;217.1000000;218.4500000;38357870
20180704;000000;218.3000000;219.5600000;216.6100000;217.7000000;20256320
