<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20180307;000000;0.0528000;0.0547800;0.0526400;0.0547000;37864590000
20180309;000000;0.0545400;0.0565900;0.0543300;0.0562800;34716770000
20180312;000000;0.0570100;0.0576400;0.0557000;0.0557100;32279070000
20180313;000000;0.0557700;0.0562800;0.0549200;0.0558000;28682540000
20180314;000000;0.0555500;0.0559800;0.0535000;0.0535400;30209650000
20180315;000000;0.0536500;0.0542300;0.0531900;0.0538400;33454750000
20180316;000000;0.0537900;0.0541900;0.0533500;0.0534800;37569380000
20180319;000000;0.0539000;0.0541400;0.0534000;0.0534000;12629480000
20180320;000000;0.0535900;0.0539600;0.0526600;0.0539000;19288660000
20180321;000000;0.0540500;0.0545000;0.0531700;0.0540000;30648350000
20180322;000000;0.0542800;0.0542800;0.0533100;0.0540000;27604030000
20180323;000000;0.0534100;0.0535800;0.0529000;0.0532800;17400200000
20180326;000000;0.0532300;0.0532300;0.0509900;0.0509900;33110780000
20180327;000000;0.0513600;0.0521900;0.0510500;0.0518000;21429110000
20180328;000000;0.0513400;0.0515800;0.0505500;0.0510000;16739760000
20180329;000000;0.0511200;0.0521000;0.0511100;0.0511500;20706940000
20180330;000000;0.0515100;0.0516600;0.0512200;0.0516600;4109350000
20180402;000000;0.0516600;0.0519400;0.0511400;0.0511400;12511790000
20180403;000000;0.0511300;0.0531000;0.0507700;0.0523000;42461380000
20180404;000000;0.0525800;0.0526400;0.0521000;0.0523700;19315210000
20180405;000000;0.0526800;0.0539500;0.0525300;0.0539500;67629250000
20180406;000000;0.0535900;0.0555500;0.0535900;0.0554000;83955080000
20180409;000000;0.0552000;0.0552500;0.0485000;0.0504000;117566520000
20180410;000000;0.0500300;0.0517900;0.0492200;0.0506500;79614670000
20180411;000000;0.0509100;0.0515900;0.0494100;0.0504700;43170240000
20180412;000000;0.0509100;0.0514800;0.0505100;0.0509300;20868780000
20180413;000000;0.0509900;0.0515000;0.0501200;0.0508700;27013720000
20180416;000000;0.0500700;0.0521900;0.0500000;0.0517900;28151020000
20180417;000000;0.0533500;0.0535400;0.0519400;0.0521700;34488020000
20180418;000000;0.0524200;0.0534900;0.0522000;0.0530000;24038530000
20180419;000000;0.0530100;0.0535000;0.0519700;0.0525000;21485380000
20180420;000000;0.0523600;0.0532000;0.0521000;0.0528900;15842250000
20180423;000000;0.0527100;0.0530000;0.0525100;0.0530000;20922100000
20180424;000000;0.0530000;0.0539000;0.0528000;0.0530000;26953060000
