<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20180129;000000;146.7700000;147.2900000;144.1500000;144.7500000;36073370
20180130;000000;144.0000000;146.4300000;142.3700000;143.5000000;51240710
20180131;000000;142.9800000;144.5000000;141.8000000;143.3600000;44234770
20180201;000000;143.4300000;146.1700000;143.1300000;145.3900000;37413040
20180202;000000;145.6800000;146.7800000;142.8800000;144.0000000;39050390
20180205;000000;142.8700000;145.2000000;142.3000000;144.5300000;33048750
20180206;000000;141.7300000;142.8200000;140.4000000;141.5900000;51830950
20180207;000000;142.4500000;143.3900000;141.0000000;141.0000000;32853320
20180208;000000;140.4700000;140.8500000;137.1400000;137.2000000;42662580
20180209;000000;135.9900000;136.7000000;132.8000000;135.5600000;53098540
20180212;000000;136.8700000;138.1000000;136.0300000;137.3000000;29360450
20180213;000000;138.0000000;140.1000000;137.4500000;139.8500000;36398240
20180214;000000;140.0300000;140.5700000;137.0200000;138.8900000;34106600
20180215;000000;139.7900000;140.9900000;137.0600000;137.0600000;29054840
20180216;000000;137.8500000;139.4900000;136.7700000;137.0600000;24628330
20180219;000000;137.3600000;138.7000000;137.1300000;138.3100000;14431390
20180220;000000;138.7800000;144.2900000;138.7800000;141.3200000;62769320
20180221;000000;140.9000000;144.0000000;140.5300000;144.0000000;24886450
20180222;000000;143.4300000;145.9700000;142.6300000;145.9700000;29870140
20180226;000000;148.0700000;149.9800000;146.4200000;147.0000000;37150990
20180227;000000;147.2000000;147.4900000;144.8500000;146.5000000;24771080
20180228;000000;145.5000000;145.7500000;142.2500000;143.1600000;36217520
20180301;000000;141.0000000;142.0000000;139.3900000;140.1000000;47285230
20180302;000000;139.6300000;140.5900000;137.7700000;138.5700000;26799640
20180305;000000;138.8000000;141.8300000;138.5700000;141.6000000;23220830
20180306;000000;142.2500000;143.4900000;140.4700000;140.5900000;24358140
20180307;000000;139.9600000;139.9800000;137.3800000;138.5600000;28189860
20180309;000000;138.8000000;139.8100000;137.7900000;139.8100000;12080580
20180312;000000;140.4400000;141.9600000;140.1100000;141.3500000;16899310
20180313;000000;141.1000000;142.9300000;139.9500000;142.7500000;22899860
20180314;000000;141.8200000;141.9800000;138.8000000;138.8000000;31765180
20180315;000000;138.5800000;140.0600000;138.0000000;138.2500000;34232460
20180316;000000;138.6600000;141.0000000;137.1100000;141.0000000;42459720
20180319;000000;141.2000000;141.7700000;139.4300000;139.9100000;21582910
20180320;000000;140.2500000;142.7000000;139.3100000;142.4500000;25931850
20180321;000000;142.7000000;144.0000000;140.8400000;141.5100000;31141240
20180322;000000;141.7300000;142.0800000;139.2000000;139.5000000;20677700
20180323;000000;138.7800000;142.4900000;137.8200000;142.0000000;33554360
20180326;000000;142.0100000;142.0800000;138.2700000;138.2700000;27556030
20180327;000000;139.2300000;141.7000000;139.0100000;140.8000000;25427090
20180328;000000;140.0100000;141.6700000;139.1300000;140.4700000;21273130
20180329;000000;140.7100000;142.8000000;140.7100000;142.8000000;23762490
20180330;000000;143.0000000;143.3100000;142.0500000;142.3300000;8337160
20180402;000000;142.3900000;143.7000000;140.3200000;140.3200000;18501160
20180403;000000;140.3200000;141.3000000;139.7000000;141.1300000;13758480
20180404;000000;141.0200000;141.5200000;139.0200000;140.1800000;22247310
20180405;000000;140.6600000;141.3500000;139.8000000;140.5000000;20436610
20180406;000000;140.1300000;141.9700000;139.4500000;141.5000000;27346240
20180409;000000;140.9300000;141.2200000;128.1900000;135.0100000;91006200
20180410;000000;134.9500000;141.9700000;133.5000000;140.6200000;58453070
20180411;000000;141.0000000;146.2900000;140.7100000;145.2700000;62134680
20180412;000000;145.7100000;146.8900000;142.1300000;145.9900000;40706810
20180413;000000;146.0000000;146.7500000;142.0900000;142.5800000;26381420
20180416;000000;141.0300000;142.8300000;139.8700000;141.5000000;26630690
20180417;000000;142.4500000;143.1800000;140.6600000;142.4000000;26680260
20180418;000000;142.6700000;145.3100000;142.0400000;144.7500000;28080120
20180419;000000;145.2000000;145.7500000;142.5700000;143.4000000;20518720
20180420;000000;143.3000000;145.5000000;142.9000000;144.4000000;21147520
20180423;000000;144.3000000;144.4800000;142.0000000;143.9900000;32633930
20180424;000000;144.0000000;146.5200000;143.5200000;144.1400000;29007820
20180425;000000;143.5000000;143.8900000;141.4100000;142.7000000;23792050
20180426;000000;143.0100000;145.7500000;142.6000000;145.4800000;22254120
20180427;000000;145.8100000;146.0000000;143.7700000;144.5000000;19498970
20180428;000000;144.5000000;144.5000000;143.8300000;144.3800000;2145740
20180430;000000;144.3200000;147.2900000;143.7000000;145.9300000;15278690
20180502;000000;145.3300000;145.7700000;143.9600000;144.9400000;16008500
20180503;000000;144.6500000;146.1500000;142.7000000;142.7000000;23992750
20180504;000000;143.4000000;144.2000000;143.0900000;143.7300000;11726530
20180507;000000;144.5700000;145.1000000;143.4500000;144.0500000;9382400
20180508;000000;143.7800000;145.4800000;143.1600000;145.4800000;18282910
20180510;000000;145.9800000;147.1500000;145.5700000;146.3800000;24103610
20180511;000000;146.4800000;151.1000000;146.4700000;150.7000000;44778970
20180514;000000;151.2700000;151.2700000;148.0300000;150.9800000;27828900
20180515;000000;150.4800000;150.7000000;148.0000000;149.2000000;29085690
